"date","series_id","value","realtime_start","realtime_end"
1990-01-01,"GDP",5872.701,2024-10-23,2024-10-23
1990-04-01,"GDP",5960.028,2024-10-23,2024-10-23
1990-07-01,"GDP",6015.116,2024-10-23,2024-10-23
1990-10-01,"GDP",6004.733,2024-10-23,2024-10-23
1991-01-01,"GDP",6035.178,2024-10-23,2024-10-23
1991-04-01,"GDP",6126.862,2024-10-23,2024-10-23
1991-07-01,"GDP",6205.937,2024-10-23,2024-10-23
1991-10-01,"GDP",6264.54,2024-10-23,2024-10-23
1992-01-01,"GDP",6363.102,2024-10-23,2024-10-23
1992-04-01,"GDP",6470.763,2024-10-23,2024-10-23
1992-07-01,"GDP",6566.641,2024-10-23,2024-10-23
1992-10-01,"GDP",6680.803,2024-10-23,2024-10-23
1993-01-01,"GDP",6729.459,2024-10-23,2024-10-23
1993-04-01,"GDP",6808.939,2024-10-23,2024-10-23
1993-07-01,"GDP",6882.098,2024-10-23,2024-10-23
1993-10-01,"GDP",7013.738,2024-10-23,2024-10-23
1994-01-01,"GDP",7115.652,2024-10-23,2024-10-23
1994-04-01,"GDP",7246.931,2024-10-23,2024-10-23
1994-07-01,"GDP",7331.075,2024-10-23,2024-10-23
1994-10-01,"GDP",7455.288,2024-10-23,2024-10-23
1995-01-01,"GDP",7522.289,2024-10-23,2024-10-23
1995-04-01,"GDP",7580.997,2024-10-23,2024-10-23
1995-07-01,"GDP",7683.125,2024-10-23,2024-10-23
1995-10-01,"GDP",7772.586,2024-10-23,2024-10-23
1996-01-01,"GDP",7868.468,2024-10-23,2024-10-23
1996-04-01,"GDP",8032.84,2024-10-23,2024-10-23
1996-07-01,"GDP",8131.408,2024-10-23,2024-10-23
1996-10-01,"GDP",8259.771,2024-10-23,2024-10-23
1997-01-01,"GDP",8362.655,2024-10-23,2024-10-23
1997-04-01,"GDP",8518.825,2024-10-23,2024-10-23
1997-07-01,"GDP",8662.823,2024-10-23,2024-10-23
1997-10-01,"GDP",8765.907,2024-10-23,2024-10-23
1998-01-01,"GDP",8866.48,2024-10-23,2024-10-23
1998-04-01,"GDP",8969.699,2024-10-23,2024-10-23
1998-07-01,"GDP",9121.097,2024-10-23,2024-10-23
1998-10-01,"GDP",9293.991,2024-10-23,2024-10-23
1999-01-01,"GDP",9411.682,2024-10-23,2024-10-23
1999-04-01,"GDP",9526.21,2024-10-23,2024-10-23
1999-07-01,"GDP",9686.626,2024-10-23,2024-10-23
1999-10-01,"GDP",9900.169,2024-10-23,2024-10-23
2000-01-01,"GDP",10002.179,2024-10-23,2024-10-23
2000-04-01,"GDP",10247.72,2024-10-23,2024-10-23
2000-07-01,"GDP",10318.165,2024-10-23,2024-10-23
